"__src_domain__","__src_entity_type__","__src_entity_id__","__relation_type__","__dest_domain__","__dest_entity_type__","__dest_entity_id__"
"acs","acs.sls.project","0026bf751c802996ed087b3694be74b5","contains","acs","acs.sls.logstore","1a0febe6e8e2a70d8d459f685c6a487e"
"acs","acs.sls.project","809d6a9ebec50095faf91c18e9c17b60","contains","acs","acs.sls.logstore","809886ae648c6a956694a00675a022e7"
"acs","acs.sls.project","99f4e9dea757d0b860ae7dba762977a8","contains","acs","acs.sls.logstore","884c37a6f58e50c3e54381cab9d77f94"
"acs","acs.sls.project","d574807c4eff805ed781699e650d0df4","contains","acs","acs.sls.logstore","7d21d7f147b88a110c2e3061b6324a29"
"acs","acs.sls.project","6608ba4945fa4217e9d9bcea46f10988","contains","acs","acs.sls.logstore","1411057c266bbac3232e853f9def9f1c"
"acs","acs.sls.project","d574807c4eff805ed781699e650d0df4","contains","acs","acs.sls.logstore","a30f338c07eb87677b279b1e566e4c88"
"acs","acs.sls.project","d574807c4eff805ed781699e650d0df4","contains","acs","acs.sls.logstore","0959e2c294c636f81166fe68c4aa2c99"
"acs","acs.sls.project","d574807c4eff805ed781699e650d0df4","contains","acs","acs.sls.logstore","1e2b4b031a354f6d3338b3e4dc9acba2"
"acs","acs.sls.project","7b3fdaa019025dc76c3336d1a96581e5","contains","acs","acs.sls.logstore","3ffdf6f70a99142e0c076242e3fcdcaf"
"acs","acs.sls.project","1e25f308da38cb74799a3c267a0dbce4","contains","acs","acs.sls.logstore","540e1a6396eccf55241b9ce167ebfa92"
"acs","acs.sls.project","76825e305677e8869fda03fc8774347b","contains","acs","acs.sls.logstore","fca5c68dbc826dbb97b27a58bbb62d95"
"acs","acs.sls.project","dd4328ee5cf9b708c0df4e3deb4a65e7","contains","acs","acs.sls.logstore","d48538dbd4022fe1545f6b6ff6ab9e41"
"acs","acs.sls.project","d2131a0071d1f02e3095f163f0606892","contains","acs","acs.sls.logstore","91e23eaaeca418a7fb77291a26729478"
"acs","acs.sls.project","cbe526f5a9e78a932e6f8ec40acef24d","contains","acs","acs.sls.logstore","c1efb8bd65eccb495c72aef9fa985b42"
"acs","acs.sls.project","828f29f60f744a9597144f0687aa4dd0","contains","acs","acs.sls.logstore","399bf127d6e551f535042304e29051aa"
"acs","acs.sls.project","6c968fc94a4dcf83d5c648d253bbf154","contains","acs","acs.sls.logstore","e5b5c878fbc583ecea93296e67c1c9e9"
"acs","acs.sls.project","80efeebc81cfa44bbb7f0b287477561e","contains","acs","acs.sls.logstore","02a38c9d5dd3691ee4197f93045f20f8"
"acs","acs.sls.project","5045d1f24ec09c89f32e8a42b7798ece","contains","acs","acs.sls.logstore","53f8ca3901156ae05415d77d42771992"
"acs","acs.sls.project","27bb698b4b06d727eeb890e321e93b65","contains","acs","acs.sls.logstore","a268ac832b5bb3a2cee0ba145461b0b3"
"acs","acs.sls.project","cc8ae189f769e6ffcb8fda34a48cf8b2","contains","acs","acs.sls.logstore","650c716042b9b33cf9cbc498018eaf5c"
"acs","acs.sls.project","6f66bc91b3db34225d1bbfe14c96ee80","contains","acs","acs.sls.logstore","5d2daed2a635af9510acd51f420f842e"
"acs","acs.sls.project","0205b081de84b00acdd2e5471579538e","contains","acs","acs.sls.logstore","ca7a937d8d4f6bec2f270f8ed24bcd34"
"acs","acs.sls.project","7b9b7b628d49fddbf36c72b39bd9bc50","contains","acs","acs.sls.logstore","0d8952d337de7b517dd0ea678bfd73fc"
"acs","acs.sls.project","ba05be85cd622680c156ea5cbd721c79","contains","acs","acs.sls.logstore","2deaf4016fe338577bc2980adfafa527"
"acs","acs.sls.project","96e40f1fc653fb4ebfe4b1796285042d","contains","acs","acs.sls.logstore","22610e896db36f2c1935bfcfcb59aef5"
"acs","acs.sls.project","f9d1a57b998af7fe0de87c69d0e83bc3","contains","acs","acs.sls.logstore","a8e90dac8e3672e35f6ab2f03c6a3b54"
"acs","acs.sls.project","121010656d93d2f1255fcf2603d7ce34","contains","acs","acs.sls.logstore","cdefe11b4b042f7efe6604ef6b6e3532"
"acs","acs.sls.project","944900a995a6e7060344d4a07ffb2448","contains","acs","acs.sls.logstore","2d7aedc8d5877fde87123ebdc0dc7926"
"acs","acs.sls.project","2ac2f27c8d63e0d63c98122b0868036b","contains","acs","acs.sls.logstore","7d268e29a90a0c891efe070e4617b938"
"acs","acs.sls.project","f24b8eec12ada1d6345e26701619a094","contains","acs","acs.sls.logstore","183845a60422e20b1ef6a989611abb93"
"acs","acs.sls.project","db89c175d5a9a40b41f27cd9d51d61a3","contains","acs","acs.sls.logstore","013573ac01b5848aecadbb343ff9e876"
"acs","acs.sls.project","bd3d4afc0c07b7378a266f6fb7be997f","contains","acs","acs.sls.logstore","aea7b1ae81e8f6b4c478a59d780aa42f"
"acs","acs.sls.project","4e111b2bbd9596d8c045f8185c595639","contains","acs","acs.sls.logstore","2415155db0312cca131d7ad7aac33518"
"acs","acs.sls.project","5d5ececa514292dfc6a58b10914de16f","contains","acs","acs.sls.logstore","9ba912cb0c21b014d561bb0b194be590"
"acs","acs.sls.project","47e9931a14a79356fdadfd08cad599fa","contains","acs","acs.sls.logstore","e9ce970ace5bd8bc04eaef64b1c3faaa"
"acs","acs.sls.project","7064d4019adb652806d5ea60c1c3fe84","contains","acs","acs.sls.logstore","5ec2c2b8801cdac0f300ad42174f6fa6"
"acs","acs.vpc.vpc","adc32172cafa9e87764a09d08f232aa5","contains","acs","acs.ess.scalinggroup","66d3d92efef80d3ca90127d60682a3f2"
