source|target
daf8a07d-3782-5aa0-b334-ca239d276bed|6cadb5ff-4c2d-52eb-8d8e-94fdad69ec13
daf8a07d-3782-5aa0-b334-ca239d276bed|fde5343b-4323-5a25-9876-0da8bc5b3cde
71823dc4-d6a9-5723-b43b-e8a5339e7bb1|c66cb2fe-7102-5fac-af1f-56e6c79c3857
71823dc4-d6a9-5723-b43b-e8a5339e7bb1|be358770-c0be-534c-aced-17cf753d2396
71823dc4-d6a9-5723-b43b-e8a5339e7bb1|e7e98e43-7120-532e-8a59-82d95efba671
71823dc4-d6a9-5723-b43b-e8a5339e7bb1|ce8c354d-031c-545d-8dd1-2b452a725b0a
71823dc4-d6a9-5723-b43b-e8a5339e7bb1|323f7f75-f334-5804-b031-bb8b1f6d563d
b7c58b35-4817-5a74-b050-6795220957d6|ca439333-46fe-52c7-8973-4011b9561141
b7c58b35-4817-5a74-b050-6795220957d6|ce8c354d-031c-545d-8dd1-2b452a725b0a
604f5a15-d233-59cf-8477-bb36074f40a1|177a9be5-eb78-5575-bce4-1627bac70dd3
e5c627c1-d755-53bb-9272-54a0a2e294be|d0bc6ccd-619e-5e9c-9c64-0152b5e4a4d6
e5c627c1-d755-53bb-9272-54a0a2e294be|fcc42a33-2b7a-5ecb-aab0-535b45851f29
05e7c88e-975a-5001-96b6-d91c44554aa7|177a9be5-eb78-5575-bce4-1627bac70dd3
05e7c88e-975a-5001-96b6-d91c44554aa7|8b5ce57c-b966-5025-98aa-d95ecaf77bc9
05e7c88e-975a-5001-96b6-d91c44554aa7|52fb65a3-7784-5619-a706-d81a22fde108
e2048e62-c1d0-5e15-84ce-3a0a10a4af28|66e0cb02-3b00-5cbc-b41f-6c5212805ea9
87676004-b8a5-5fc8-bcff-1b6ae8646b10|52fb65a3-7784-5619-a706-d81a22fde108
87676004-b8a5-5fc8-bcff-1b6ae8646b10|6cadb5ff-4c2d-52eb-8d8e-94fdad69ec13
fc35de3c-e353-5c3a-b35a-708a759e9f62|9515ca63-19f2-55bf-b45c-ba1eda31ccb8
b741a5ea-a8a2-5cfa-8bd0-def8538b7fcc|a65cf2a3-5a71-510b-b2ce-1340d07b333b
a5fc3e5b-c50b-558f-a371-4e7ab480df84|a952998a-f358-5070-a0fd-118112b60df3
a5fc3e5b-c50b-558f-a371-4e7ab480df84|67cb5a7a-360c-521a-ace8-eefe0f4b9b0e
910f76e7-a566-5a06-a82b-223ea6f474c2|c66cb2fe-7102-5fac-af1f-56e6c79c3857
c288fae3-38f7-50b4-8a9b-ecb63bf78abe|52fb65a3-7784-5619-a706-d81a22fde108
c288fae3-38f7-50b4-8a9b-ecb63bf78abe|177a9be5-eb78-5575-bce4-1627bac70dd3
c288fae3-38f7-50b4-8a9b-ecb63bf78abe|8bafb810-6b1e-5a25-b75d-d1da4d045c9e
3aee1322-a73c-5c4f-bc31-188b3056113f|4303d0b6-a27d-50d0-8328-73ff56e3e689
3aee1322-a73c-5c4f-bc31-188b3056113f|52fb65a3-7784-5619-a706-d81a22fde108
3aee1322-a73c-5c4f-bc31-188b3056113f|177a9be5-eb78-5575-bce4-1627bac70dd3
2767e0ca-e154-5653-947b-32f9874740ba|c229bdbd-e157-581b-a314-c77bc8d50f49
5b0a1f3f-ce53-5e4d-ab8f-d7c189068882|42777dc0-4d15-5c81-ba5b-99f2bf37340b
3cbb9abc-d3d9-56d2-8a99-faa095db0b6c|42777dc0-4d15-5c81-ba5b-99f2bf37340b
18f2a30c-56a4-5709-83d6-8d0ec7c20686|a08ae348-5898-5ec6-8042-3eeee4b67e03
18f2a30c-56a4-5709-83d6-8d0ec7c20686|fb8a90e9-616f-5e53-9202-c7c91232940b
18f2a30c-56a4-5709-83d6-8d0ec7c20686|a7ce7cbd-1a1d-57a5-97a0-4f1504eb533f
12300048-e5cb-5322-af6d-034ad0d186fa|7d5b2c6b-f4a1-5d43-8c0b-d27a110664b7
12300048-e5cb-5322-af6d-034ad0d186fa|5b0a1f3f-ce53-5e4d-ab8f-d7c189068882
51bc8f25-d3e9-5c99-95ef-2703bb14aa5a|c66cb2fe-7102-5fac-af1f-56e6c79c3857
51bc8f25-d3e9-5c99-95ef-2703bb14aa5a|52fb65a3-7784-5619-a706-d81a22fde108
884b861d-4bc6-5967-8284-5cee8dc2ef80|52fb65a3-7784-5619-a706-d81a22fde108
884b861d-4bc6-5967-8284-5cee8dc2ef80|177a9be5-eb78-5575-bce4-1627bac70dd3
884b861d-4bc6-5967-8284-5cee8dc2ef80|c299088d-2e9a-50ca-925b-e300ec8b6137
437b471d-c084-56e5-9409-5a6d5f3afeba|a257e631-8655-5cb4-9a54-d897e9c2dc1d
437b471d-c084-56e5-9409-5a6d5f3afeba|38182372-23ae-576e-ad5c-27f1471c1906
437b471d-c084-56e5-9409-5a6d5f3afeba|0234de85-8831-52b2-a7a6-a0457e6582d0
55d3bb51-1482-5075-b68e-1da9bf1fbda5|09d1720a-ea43-5e86-b562-6eabaaa9fdef
93750600-2f58-57b2-ae36-21f15c3c543b|daf8a07d-3782-5aa0-b334-ca239d276bed
8dbac85a-c395-5587-b150-42a42ff11c34|c084ee8a-70e9-55e6-8575-70787ed41d77
8dbac85a-c395-5587-b150-42a42ff11c34|538b8b34-d925-588b-bafd-53546b72f8e1
c2e8e422-7461-5a74-ae7b-744662c058b2|87bf8b8d-0a1c-535c-b8f5-1ba45c4f3a95
4dfc4653-ea25-5a02-a503-ccffbd41b74b|570fb8ea-0f41-5981-9d50-255e07dad8a6
4dfc4653-ea25-5a02-a503-ccffbd41b74b|16b3a910-0eb4-5df9-9a8e-f8248552848d
4dfc4653-ea25-5a02-a503-ccffbd41b74b|3aee1322-a73c-5c4f-bc31-188b3056113f
4dfc4653-ea25-5a02-a503-ccffbd41b74b|b5ad8214-7885-571f-bb8e-d6e57eb8e8ab
172ace0f-6fd5-5170-9977-3ad8b604a923|ebb21d36-ade1-557f-b334-5ecefe57e4c0
172ace0f-6fd5-5170-9977-3ad8b604a923|a65cf2a3-5a71-510b-b2ce-1340d07b333b
172ace0f-6fd5-5170-9977-3ad8b604a923|177a9be5-eb78-5575-bce4-1627bac70dd3
172ace0f-6fd5-5170-9977-3ad8b604a923|8edbdcdf-4274-5d2e-b32b-d8c2b7f8522d
883cb608-df17-5a7e-b4e4-9219a29a5165|177a9be5-eb78-5575-bce4-1627bac70dd3
883cb608-df17-5a7e-b4e4-9219a29a5165|323f7f75-f334-5804-b031-bb8b1f6d563d
47865235-f272-5186-b89b-e08721ce2c3f|a257e631-8655-5cb4-9a54-d897e9c2dc1d
36b4a881-40c8-5fc3-a04c-4345d6db9b33|113009e1-9d97-550e-920f-1ff8b1d675f4
36b4a881-40c8-5fc3-a04c-4345d6db9b33|570fb8ea-0f41-5981-9d50-255e07dad8a6
36b4a881-40c8-5fc3-a04c-4345d6db9b33|7b2311ce-ec54-5cf8-9d90-665d54bb83bf
7b1809e1-1c7f-537d-875c-3f12d76ea349|36f81dac-f33e-5ad7-9b21-f831176db6dc
7b1809e1-1c7f-537d-875c-3f12d76ea349|a7ce7cbd-1a1d-57a5-97a0-4f1504eb533f
7b1809e1-1c7f-537d-875c-3f12d76ea349|591c1fa4-6885-574f-9ec4-4f7533346e25
72dbbf74-2166-5c55-8c62-37886b14605c|52fb65a3-7784-5619-a706-d81a22fde108
72dbbf74-2166-5c55-8c62-37886b14605c|9515ca63-19f2-55bf-b45c-ba1eda31ccb8
34e3e49c-b758-593b-bef9-8c7f04d29d10|ca439333-46fe-52c7-8973-4011b9561141
34e3e49c-b758-593b-bef9-8c7f04d29d10|ce8c354d-031c-545d-8dd1-2b452a725b0a
34e3e49c-b758-593b-bef9-8c7f04d29d10|27366fad-9d47-5b1a-bfa9-1b80ec201b04
3b1def04-b03c-5f59-9658-434d92da9265|4dacaca9-df5b-5e12-88a6-ce3bc7a6e814
3b1def04-b03c-5f59-9658-434d92da9265|87bf8b8d-0a1c-535c-b8f5-1ba45c4f3a95
c022ab5b-d5c7-5ff5-b911-d5fff72f5868|a7ce7cbd-1a1d-57a5-97a0-4f1504eb533f
421c598a-3238-5ffa-b0c1-aefbd0ecd126|177a9be5-eb78-5575-bce4-1627bac70dd3
421c598a-3238-5ffa-b0c1-aefbd0ecd126|ba2a98eb-3490-5117-804e-5551604d2320
421c598a-3238-5ffa-b0c1-aefbd0ecd126|52fb65a3-7784-5619-a706-d81a22fde108
6bd07b97-425d-5f09-9faf-fe16f372b0d9|c5ab0417-7445-501a-8756-efac81019599
6bd07b97-425d-5f09-9faf-fe16f372b0d9|323f7f75-f334-5804-b031-bb8b1f6d563d
6bd07b97-425d-5f09-9faf-fe16f372b0d9|ce8c354d-031c-545d-8dd1-2b452a725b0a
08d59296-3c55-5705-ac55-06c20ee54089|ca439333-46fe-52c7-8973-4011b9561141
fa209d88-34eb-52a0-8f51-61bf8ed2b2e6|a952998a-f358-5070-a0fd-118112b60df3
fa209d88-34eb-52a0-8f51-61bf8ed2b2e6|9515ca63-19f2-55bf-b45c-ba1eda31ccb8
fa209d88-34eb-52a0-8f51-61bf8ed2b2e6|ba2a98eb-3490-5117-804e-5551604d2320
fa209d88-34eb-52a0-8f51-61bf8ed2b2e6|177a9be5-eb78-5575-bce4-1627bac70dd3
